2026-02-27 01:13:47 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:14:07 | INFO | [CYCLE] tick() entered
2026-02-27 01:14:07 | INFO | [TICK] Tick running
2026-02-27 01:14:07 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:14:27 | INFO | [CYCLE] tick() entered
2026-02-27 01:14:27 | INFO | [TICK] Tick running
2026-02-27 01:14:27 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:14:47 | INFO | [CYCLE] tick() entered
2026-02-27 01:14:47 | INFO | [TICK] Tick running
2026-02-27 01:14:47 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:15:07 | INFO | [CYCLE] tick() entered
2026-02-27 01:15:07 | INFO | [TICK] Tick running
2026-02-27 01:15:07 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:15:27 | INFO | [CYCLE] tick() entered
2026-02-27 01:15:27 | INFO | [TICK] Tick running
2026-02-27 01:15:27 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:15:47 | INFO | [CYCLE] tick() entered
2026-02-27 01:15:47 | INFO | [TICK] Tick running
2026-02-27 01:15:47 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:16:07 | INFO | [CYCLE] tick() entered
2026-02-27 01:16:07 | INFO | [TICK] Tick running
2026-02-27 01:16:07 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:16:27 | INFO | [CYCLE] tick() entered
2026-02-27 01:16:27 | INFO | [TICK] Tick running
2026-02-27 01:16:27 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:16:47 | INFO | [CYCLE] tick() entered
2026-02-27 01:16:47 | INFO | [TICK] Tick running
2026-02-27 01:16:47 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:17:07 | INFO | [CYCLE] tick() entered
2026-02-27 01:17:07 | INFO | [TICK] Tick running
2026-02-27 01:17:07 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:17:27 | INFO | [CYCLE] tick() entered
2026-02-27 01:17:27 | INFO | [TICK] Tick running
2026-02-27 01:17:27 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:17:47 | INFO | [CYCLE] tick() entered
2026-02-27 01:17:47 | INFO | [TICK] Tick running
2026-02-27 01:17:47 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:18:07 | INFO | [CYCLE] tick() entered
2026-02-27 01:18:07 | INFO | [TICK] Tick running
2026-02-27 01:18:07 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:18:27 | INFO | [CYCLE] tick() entered
2026-02-27 01:18:27 | INFO | [TICK] Tick running
2026-02-27 01:18:27 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:25:04 | INFO | [BOT] Telegram bot started
2026-02-27 01:25:04 | INFO | [ENGINE] Trading engine starting...
2026-02-27 01:25:04 | INFO | [LOOP] Trading loop started
2026-02-27 01:25:04 | INFO | [CYCLE] tick() entered
2026-02-27 01:25:04 | INFO | [TICK] Tick running
2026-02-27 01:25:04 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:25:24 | INFO | [CYCLE] tick() entered
2026-02-27 01:25:24 | INFO | [TICK] Tick running
2026-02-27 01:25:24 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:25:44 | INFO | [CYCLE] tick() entered
2026-02-27 01:25:44 | INFO | [TICK] Tick running
2026-02-27 01:25:44 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:26:04 | INFO | [CYCLE] tick() entered
2026-02-27 01:26:04 | INFO | [TICK] Tick running
2026-02-27 01:26:04 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:26:24 | INFO | [CYCLE] tick() entered
2026-02-27 01:26:24 | INFO | [TICK] Tick running
2026-02-27 01:26:24 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:26:44 | INFO | [CYCLE] tick() entered
2026-02-27 01:26:44 | INFO | [TICK] Tick running
2026-02-27 01:26:44 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:27:04 | INFO | [CYCLE] tick() entered
2026-02-27 01:27:04 | INFO | [TICK] Tick running
2026-02-27 01:27:04 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:27:24 | INFO | [CYCLE] tick() entered
2026-02-27 01:27:24 | INFO | [TICK] Tick running
2026-02-27 01:27:24 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:27:44 | INFO | [CYCLE] tick() entered
2026-02-27 01:27:44 | INFO | [TICK] Tick running
2026-02-27 01:27:44 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:28:04 | INFO | [CYCLE] tick() entered
2026-02-27 01:28:04 | INFO | [TICK] Tick running
2026-02-27 01:28:04 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:28:24 | INFO | [CYCLE] tick() entered
2026-02-27 01:28:24 | INFO | [TICK] Tick running
2026-02-27 01:28:24 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:28:44 | INFO | [CYCLE] tick() entered
2026-02-27 01:28:44 | INFO | [TICK] Tick running
2026-02-27 01:28:44 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:29:04 | INFO | [CYCLE] tick() entered
2026-02-27 01:29:04 | INFO | [TICK] Tick running
2026-02-27 01:29:04 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:29:24 | INFO | [CYCLE] tick() entered
2026-02-27 01:29:24 | INFO | [TICK] Tick running
2026-02-27 01:29:24 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:29:44 | INFO | [CYCLE] tick() entered
2026-02-27 01:29:44 | INFO | [TICK] Tick running
2026-02-27 01:29:44 | INFO | [TICK] Paused=True (use /startloop)
